ISO,total_SCI,total_edges,total_nodes,average_indegree,average_outdegree,average_SCI,std_SCI,global_clustering,average_betweenness,max_betweenness,average_closeness,max_closeness
KWT,2.312924e6,21,6,6.0,6.0,64247.88888888889,34748.100058052725,1.0,0.01666666666666667,0.10000000000000002,1.9209982614541866e-5,2.322535093505263e-5
LAO,2.3257028e8,171,18,18.0,18.0,717809.5061728396,2.223481466516585e6,1.0,0.023284313725490197,0.16911764705882354,5.2410052888551755e-6,6.835272741455005e-6
LBN,2.6161548e7,36,8,8.0,8.0,408774.1875,840569.2680149014,1.0,0.05952380952380952,0.42857142857142855,1.0710156332731814e-5,1.4623670290551437e-5
LBR,1.445781698e9,105,14,14.0,14.0,7.376437234693877e6,2.0476849771398295e7,1.0,0.015567765567765568,0.0641025641025641,4.921044009056556e-7,5.903423354333323e-7
LBY,2.42295707e8,253,22,22.0,22.0,500610.9648760331,3.0793779673673497e6,1.0,0.019264069264069265,0.15714285714285717,2.1142829509796608e-5,2.66201532306725e-5
LCA,1.4524005e7,1,1,1.0,1.0,1.4524005e7,NaN,1.0,0.0,0.0,0.0,0.0
LIE,3.5163841e7,1,1,1.0,1.0,3.5163841e7,NaN,1.0,0.0,0.0,0.0,0.0
LKA,3.6509090069e10,52326,323,323.0,323.0,349941.9151817807,1.9442460662124376e6,1.0,0.0027045528106663867,0.5310268764149301,1.3349064828801336e-5,2.252074723839337e-5
LSO,1.88326955e8,55,10,10.0,10.0,1.88326955e6,3.6154609042288703e6,1.0,0.036111111111111115,0.2777777777777778,1.214032897058081e-6,1.6257428064041984e-6
LTU,5.5389057e7,55,10,10.0,10.0,553890.57,1.319649684697261e6,1.0,0.02777777777777778,0.1388888888888889,6.171559766954099e-6,7.123234328290875e-6
LUX,1.855765e6,1,1,1.0,1.0,1.855765e6,NaN,1.0,0.0,0.0,0.0,0.0
LVA,3.4940567e7,21,6,6.0,6.0,970571.3055555555,1.5644288470315442e6,1.0,0.06666666666666668,0.4000000000000001,3.082200776201212e-6,4.596183880447742e-6
MAC,1.209207e6,1,1,1.0,1.0,1.209207e6,NaN,1.0,0.0,0.0,0.0,0.0
MAF,2.8215019e7,1,1,1.0,1.0,2.8215019e7,NaN,1.0,0.0,0.0,0.0,0.0
MAR,2.0828061e7,120,15,15.0,15.0,92569.16,678606.0707387155,1.0,0.01391941391941392,0.15384615384615385,5.43519317501385e-5,6.736761061521065e-5
MCO,1.3459716e7,1,1,1.0,1.0,1.3459716e7,NaN,1.0,0.0,0.0,0.0,0.0
MDA,7.46076162e8,703,37,37.0,37.0,544978.934989043,2.619370426474373e6,1.0,0.02114972114972115,0.46190476190476193,2.011423814431791e-5,2.9984907596509757e-5
MDG,4.547735e7,21,6,6.0,6.0,1.2632597222222222e6,1.92380788290969e6,1.0,0.01666666666666667,0.10000000000000002,1.9165850749592062e-6,2.4607485990958225e-6
MDV,2.669025e6,1,1,1.0,1.0,2.669025e6,NaN,1.0,0.0,0.0,0.0,0.0
MEX,2.1147978e7,528,32,32.0,32.0,20652.322265625,120835.1066074366,1.0,0.011088709677419355,0.15698924731182795,0.0004814027768094231,0.0006406811887736122
MHL,2.9704293e7,1,1,1.0,1.0,2.9704293e7,NaN,1.0,0.0,0.0,0.0,0.0
MKD,1.04970606e8,36,8,8.0,8.0,1.64016571875e6,3.6920655589828133e6,1.0,0.0892857142857143,0.6190476190476191,3.9429676255786285e-6,5.713422870831752e-6
MLI,1.69055688e8,45,9,9.0,9.0,2.0871072592592593e6,7.132649696555245e6,1.0,0.11904761904761901,0.7142857142857142,4.436028700446593e-6,6.9463860558246315e-6
MLT,5.3304943e7,3,2,2.0,2.0,1.332623575e7,2.1259160692200955e7,1.0,0.0,0.0,5.557825000764201e-7,5.557825000764201e-7
MMR,1.9422628e7,120,15,15.0,15.0,86322.79111111112,476165.0405543454,1.0,0.02490842490842491,0.16483516483516486,6.11840860526031e-5,8.173893751058228e-5
MNE,3.332613e6,1,1,1.0,1.0,3.332613e6,NaN,1.0,0.0,0.0,0.0,0.0
MNG,5.61643712e8,253,22,22.0,22.0,1.1604208925619835e6,4.577385146357018e6,1.0,0.0316017316017316,0.6095238095238096,6.25066789201498e-6,9.880409406526152e-6
MNP,1.7919718e7,1,1,1.0,1.0,1.7919718e7,NaN,1.0,0.0,0.0,0.0,0.0
MOZ,7.6011411e7,66,11,11.0,11.0,628193.479338843,1.204575795616629e6,1.0,0.0202020202020202,0.11111111111111112,3.488554653228001e-6,3.7861506395754967e-6
MRT,8.11341985e8,91,13,13.0,13.0,4.800840147928994e6,1.5624243654416928e7,1.0,0.023310023310023305,0.1212121212121212,8.237666495650973e-7,1.048685394206957e-6
MUS,3.99476683e8,66,11,11.0,11.0,3.3014601900826446e6,1.61328526592456e7,1.0,0.07474747474747476,0.8222222222222223,1.3933135326826552e-6,2.3312745847475427e-6
MWI,1.232672667e9,378,27,27.0,27.0,1.6909090082304527e6,6.333858376399829e6,1.0,0.010826210826210825,0.10153846153846154,1.7007708324823731e-6,2.171274835626144e-6
MYS,2.8101619e7,136,16,16.0,16.0,109771.94921875,507588.3012171566,1.0,0.04166666666666667,0.6380952380952382,3.501009245905041e-5,5.3631189039215124e-5
NAM,5.83041426e8,91,13,13.0,13.0,3.4499492662721896e6,6.015759408045538e6,1.0,0.019813519813519812,0.1212121212121212,5.695559119485607e-7,7.156579031175728e-7
NCL,3.554747e6,1,1,1.0,1.0,3.554747e6,NaN,1.0,0.0,0.0,0.0,0.0
NER,1.29709633e8,36,8,8.0,8.0,2.026713015625e6,4.0520725172073324e6,1.0,0.005952380952380952,0.047619047619047616,1.1692883857842272e-6,1.3149095717903057e-6
NGA,1.2426449e8,703,37,37.0,37.0,90770.26296566837,505209.3624518534,1.0,0.015143715143715144,0.19682539682539682,9.029688637779295e-5,0.0001169856692555162
NIC,2.47189898e8,171,18,18.0,18.0,762931.7839506173,2.3984990471303375e6,1.0,0.01838235294117647,0.11029411764705882,7.428756338084443e-6,9.635494896021673e-6
NLD,1.74001355e8,820,40,40.0,40.0,108750.846875,531849.8795687048,1.0,0.010020242914979757,0.13360323886639675,5.549725777480772e-5,7.14111763984231e-5
NOR,1.42832725e8,171,18,18.0,18.0,440841.7438271605,1.4507628322097824e6,1.0,0.015931372549019607,0.1838235294117647,9.020665394293206e-6,1.1281251555319607e-5
NPL,3.7708857e7,105,14,14.0,14.0,192392.1275510204,958574.8126533175,1.0,0.02564102564102564,0.1923076923076923,4.2000936955275e-5,5.3321739273101645e-5
NRU,1.23079929e8,1,1,1.0,1.0,1.23079929e8,NaN,1.0,0.0,0.0,0.0,0.0
NZL,9.2419226e7,120,15,15.0,15.0,410752.11555555556,1.479002951476392e6,1.0,0.027838827838827847,0.16483516483516486,1.1879920729033191e-5,1.5218962827683293e-5
OMN,2.3117822e7,66,11,11.0,11.0,191056.38016528924,779766.1329119375,1.0,0.014141414141414142,0.11111111111111112,1.73332251539419e-5,2.2652314160414628e-5
PAK,1.70958458e8,528,32,32.0,32.0,166951.619140625,1.5892245409566043e6,1.0,0.014852150537634409,0.24516129032258063,9.239821349669547e-5,0.00013078292565623498
PAN,1.42782125e8,78,12,12.0,12.0,991542.5347222222,2.5525997748647844e6,1.0,0.02727272727272727,0.14545454545454545,4.150486079013971e-6,5.363030873018543e-6
PER,5.315222e7,351,26,26.0,26.0,78627.54437869822,361096.0664173285,1.0,0.02435897435897436,0.32,0.00010716046681370596,0.00015287808278653938
PHL,4.18488549e8,3321,81,81.0,81.0,63784.26291723823,1.382675365079108e6,1.0,0.006014611658071574,0.16329113924050634,0.0001794055707514327,0.00024882120951989946
PLW,4.2226833e7,1,1,1.0,1.0,4.2226833e7,NaN,1.0,0.0,0.0,0.0,0.0
PNG,1.076567083e9,253,22,22.0,22.0,2.2243121549586775e6,6.257009239706228e6,1.0,0.02034632034632035,0.10476190476190478,1.2710427695891457e-6,1.6128871217107663e-6
POL,3.24015262e8,2701,73,73.0,73.0,60802.263464064556,384217.74973206484,1.0,0.004132098527236478,0.048317683881064166,0.00010549398879373603,0.00013053836196112132
PRT,3.06014466e8,325,25,25.0,25.0,489623.1456,2.200662039499061e6,1.0,0.016376811594202897,0.21014492753623187,1.6195247880005032e-5,2.3816423011427915e-5
PRY,4.52504659e8,171,18,18.0,18.0,1.3966193179012346e6,6.008966066923235e6,1.0,0.02246732026143791,0.20588235294117646,3.960825776594358e-6,5.54727995653543e-6
PYF,4.084799e6,1,1,1.0,1.0,4.084799e6,NaN,1.0,0.0,0.0,0.0,0.0
QAT,7.263017e6,28,7,7.0,7.0,148224.83673469388,469505.8855498755,1.0,0.019047619047619046,0.06666666666666667,1.6613287509875416e-5,1.9097454309340565e-5
ROU,2.91422127e8,903,42,42.0,42.0,165205.28741496598,863198.2831687698,1.0,0.01399535423925668,0.35853658536585364,5.178067842276486e-5,7.704580090989212e-5
RWA,4.727769e7,15,5,5.0,5.0,1.8911076e6,1.4308085796850733e6,1.0,0.0,0.0,7.653298302311831e-7,8.38426073038649e-7
SAU,4.719605e6,91,13,13.0,13.0,27926.656804733728,62046.63831556443,1.0,0.008158508158508158,0.0606060606060606,7.794119585198634e-5,0.00010011429715591967
SEN,1.50803091e8,105,14,14.0,14.0,769403.525510204,2.770923587188918e6,1.0,0.03296703296703297,0.3717948717948718,6.8674222200648914e-6,9.841551028442082e-6
SGP,5.04136e6,15,5,5.0,5.0,201654.4,73418.865265793,1.0,0.0,0.0,5.6922459172705905e-6,6.991173643275365e-6
SLB,7.875605e6,1,1,1.0,1.0,7.875605e6,NaN,1.0,0.0,0.0,0.0,0.0
SLE,6.1653072e7,10,4,4.0,4.0,3.853317e6,4.654011032755638e6,1.0,0.0,0.0,6.009416838610681e-7,6.691617477701858e-7
SLV,6.6395349e7,105,14,14.0,14.0,338751.7806122449,1.0664960611541087e6,1.0,0.026556776556776556,0.24358974358974358,1.685855937201217e-5,2.143640396078787e-5
SMR,5.9690939e7,1,1,1.0,1.0,5.9690939e7,NaN,1.0,0.0,0.0,0.0,0.0
SRB,3.89283092e8,325,25,25.0,25.0,622852.9472,2.763789376887577e6,1.0,0.022318840579710147,0.4384057971014493,1.4820373688814336e-5,2.2234533565807735e-5
STP,1.7769192e7,1,1,1.0,1.0,1.7769192e7,NaN,1.0,0.0,0.0,0.0,0.0
SUR,4.452456e6,1,1,1.0,1.0,4.452456e6,NaN,1.0,0.0,0.0,0.0,0.0
SVK,1.5383763e7,36,8,8.0,8.0,240371.296875,450674.3858205389,1.0,0.047619047619047616,0.3333333333333333,1.699705760223918e-5,2.1210835706926853e-5
SVN,2.36851894e8,78,12,12.0,12.0,1.6448048194444445e6,4.425629574567922e6,1.0,0.030303030303030304,0.16363636363636364,2.576256586577687e-6,3.0897184002561657e-6
SWE,7.6022791e7,231,21,21.0,21.0,172387.2811791383,726484.3652459412,1.0,0.016791979949874684,0.15789473684210525,2.9874155396936203e-5,3.726323869712812e-5
SWZ,7.0512366e7,10,4,4.0,4.0,4.407022875e6,3.1654145598687674e6,1.0,0.0,0.0,3.223666104875528e-7,3.4175964522614747e-7
SXM,1.6296193e7,1,1,1.0,1.0,1.6296193e7,NaN,1.0,0.0,0.0,0.0,0.0
SYC,2.7160437e7,1,1,1.0,1.0,2.7160437e7,NaN,1.0,0.0,0.0,0.0,0.0
TCA,2.1405424e7,1,1,1.0,1.0,2.1405424e7,NaN,1.0,0.0,0.0,0.0,0.0
TCD,2.578482513e9,253,22,22.0,22.0,5.327443208677686e6,1.9705030921705667e7,1.0,0.016017316017316017,0.17142857142857143,7.170911551938025e-7,9.632745610472501e-7
TGO,5.0208692e7,15,5,5.0,5.0,2.00834768e6,3.1221762542327177e6,1.0,0.06666666666666667,0.16666666666666666,1.465185681149207e-6,1.6171815840212756e-6
THA,2.2761273e8,3003,77,77.0,77.0,38389.733513240004,217491.12983652067,1.0,0.007655502392344499,0.3601754385964912,0.00011510750433251116,0.00017819460726846426
TJK,3.6758187e7,15,5,5.0,5.0,1.47032748e6,4.380534454564659e6,1.0,0.13333333333333333,0.6666666666666666,3.7907215863844997e-6,5.532327463994921e-6
TLS,1.035533202e9,55,10,10.0,10.0,1.035533202e7,1.2498386100417517e7,1.0,0.04722222222222223,0.47222222222222227,1.644574382813043e-7,2.474823619320651e-7
TON,1.8846603e7,1,1,1.0,1.0,1.8846603e7,NaN,1.0,0.0,0.0,0.0,0.0
TTO,4.10744674e8,120,15,15.0,15.0,1.8255318844444444e6,3.6133609127985574e6,1.0,0.03003663003663004,0.2087912087912088,1.218125398699279e-6,1.553533200558029e-6
TUN,1.03656073e8,300,24,24.0,24.0,179958.46006944444,679698.062630548,1.0,0.014822134387351776,0.2727272727272727,1.9657954075655097e-5,2.7321722789048978e-5
TUR,3.95638052e8,3321,81,81.0,81.0,60301.48635878677,574375.4698053843,1.0,0.004610095327394905,0.18401898734177216,0.00011734978097977638,0.00016408539824551687
TUV,1.82641577e8,1,1,1.0,1.0,1.82641577e8,NaN,1.0,0.0,0.0,0.0,0.0
TWN,1.1535817e7,28,7,7.0,7.0,235424.83673469388,1.3543129354146293e6,1.0,0.019047619047619046,0.06666666666666667,3.5313088089890626e-5,3.7945143970200416e-5
TZA,4.94773178e8,465,30,30.0,30.0,549747.9755555555,1.6767495332478508e6,1.0,0.018555008210180624,0.4876847290640394,5.113767831214856e-6,7.673870049096892e-6
UGA,4.055287089e9,1653,57,57.0,57.0,1.2481646934441368e6,6.265844066423323e6,1.0,0.00794030530872636,0.21948051948051947,3.3100679439142807e-6,4.755604394857833e-6
UKR,2.9812022e7,276,23,23.0,23.0,56355.42911153119,228701.50995092394,1.0,0.013739883305100698,0.1774891774891775,0.00010903213530518421,0.00014329727018700295
URY,4.73925292e8,190,19,19.0,19.0,1.3128124432132964e6,5.19576503897638e6,1.0,0.015135878912968697,0.08496732026143791,4.620291489211467e-6,5.6315184826436605e-6
USA,2.88552481781e11,5201925,3225,3225.0,3225.0,27743.763646992367,1.46026674865118e6,1.0,0.00034859118678661117,0.2598593824358686,0.0544550673683135,0.06244673433020841
UZB,3.3876664e7,105,14,14.0,14.0,172840.1224489796,545800.5214783852,1.0,0.048534798534798536,0.6538461538461539,2.7920623883689414e-5,4.5500841765572666e-5
VCT,1.6015167e7,1,1,1.0,1.0,1.6015167e7,NaN,1.0,0.0,0.0,0.0,0.0
VGB,3.8020427e7,1,1,1.0,1.0,3.8020427e7,NaN,1.0,0.0,0.0,0.0,0.0
VIR,1.9774111e7,1,1,1.0,1.0,1.9774111e7,NaN,1.0,0.0,0.0,0.0,0.0
VNM,1.01513967e8,2016,63,63.0,63.0,25576.71126228269,156471.95105314013,1.0,0.006345848757271284,0.09201480698043363,0.00019405679389491705,0.00023249099097409975
VUT,8.019636e6,1,1,1.0,1.0,8.019636e6,NaN,1.0,0.0,0.0,0.0,0.0
WSM,6.608053e6,1,1,1.0,1.0,6.608053e6,NaN,1.0,0.0,0.0,0.0,0.0
XKO,4.722996e7,28,7,7.0,7.0,963876.7346938775,1.716486132617493e6,1.0,0.03809523809523809,0.13333333333333333,3.856009592903406e-6,4.396283967704898e-6
ZAF,7.034584e6,45,9,9.0,9.0,86846.71604938271,229094.2751931088,1.0,0.05952380952380951,0.3571428571428571,6.682656295685275e-5,9.1755746203606e-5
ZMB,1.36484985e8,55,10,10.0,10.0,1.36484985e6,2.938050283711324e6,1.0,0.01666666666666667,0.08333333333333334,1.8647431347681688e-6,2.179387306425003e-6
ZWE,1.03254071e8,55,10,10.0,10.0,1.03254071e6,2.3274904528915123e6,1.0,0.038888888888888896,0.2777777777777778,2.65318294270072e-6,3.4071421270409727e-6
